Region,Customer Name,Sales,row_number,rank,dense_rank
East,Gokul Bhatnagar,373500.0,1.0,1.0,1.0
East,Ehsaan Dugar,368942.0,2.0,2.0,2.0
East,Saanvi Sankar,364740.19999999995,3.0,3.0,3.0
East,Hazel Barman,359460.0,4.0,4.0,4.0
East,Mishti Sangha,358938.5,5.0,5.0,5.0
East,Jayant Khurana,358385.0,6.0,6.0,6.0
East,Bhavin Ganesan,355720.0,7.0,7.0,7.0
East,Gokul Karnik,355216.5,8.0,8.0,8.0
East,Aayush Setty,348992.1,9.0,9.0,9.0
East,Priyansh Kade,348970.0,10.0,10.0,10.0
East,Samarth Thakur,345415.5,11.0,11.0,11.0
East,Eva Brar,344245.5,12.0,12.0,12.0
East,Arhaan Sinha,342040.0,13.0,13.0,13.0
East,Charvi Raman,340765.0,14.0,14.0,14.0
East,Fateh Gola,339824.5,15.0,15.0,15.0
East,Pihu Char,338971.5,16.0,16.0,16.0
East,Lagan Bora,338810.0,17.0,17.0,17.0
East,Amira Kara,337581.75,18.0,18.0,18.0
East,Advika Hora,336306.75,19.0,19.0,19.0
East,Jayant Bose,334107.0,20.0,20.0,20.0
East,Mahika Bir,331497.75,21.0,21.0,21.0
East,Prerak Dixit,327955.5,22.0,22.0,22.0
East,Saira Gala,327690.0,23.0,23.0,23.0
East,Indrans Konda,327640.5,24.0,24.0,24.0
East,Aayush Sengupta,325316.25,25.0,25.0,25.0
East,Umang Kapadia,324950.0,26.0,26.0,26.0
East,Eshani Mann,321593.25,27.0,27.0,27.0
East,Kaira Goswami,321151.25,28.0,28.0,28.0
East,Suhana Loke,318546.0,29.0,29.0,29.0
East,Aarush Bains,317555.0,30.0,30.0,30.0
East,Suhana Ram,315968.0,31.0,31.0,31.0
East,Hunar Johal,315064.0,32.0,32.0,32.0
East,Ayesha Jain,314356.0,33.0,33.0,33.0
East,Devansh Kanda,314008.25,34.0,34.0,34.0
East,Drishya Maharaj,312692.5,35.0,35.0,35.0
East,Umang Varty,312445.5,36.0,36.0,36.0
East,Navya Sagar,311561.2,37.0,37.0,37.0
East,Vivaan Tella,311152.5,38.0,38.0,38.0
East,Shanaya Yohannan,310972.0,39.0,39.0,39.0
East,Samar Chandra,310615.5,40.0,40.0,40.0
East,Tarini Dass,308860.0,41.0,41.0,41.0
East,Nitara Hayre,307128.0,42.0,42.0,42.0
East,Arnav Karpe,304904.0,43.0,43.0,43.0
East,Jayesh Ramachandran,304275.5,44.0,44.0,44.0
East,Nitya Saxena,303544.0,45.0,45.0,45.0
East,Mishti Bala,302863.5,46.0,46.0,46.0
East,Pihu Shenoy,301432.0,47.0,47.0,47.0
East,Hrishita Mangal,300772.0,48.0,48.0,48.0
East,Arnav Golla,300618.0,49.0,49.0,49.0
East,Renee Bhat,299796.0,50.0,50.0,50.0
East,Tiya Dutta,299164.0,51.0,51.0,51.0
East,Prerak Shere,298588.8,52.0,52.0,52.0
East,Piya Saha,298198.35,53.0,53.0,53.0
East,Raghav Agarwal,297496.0,54.0,54.0,54.0
East,Vedika Arora,295950.0,55.0,55.0,55.0
East,Jiya Zacharia,295264.5,56.0,56.0,56.0
East,Lavanya Gour,294333.75,57.0,57.0,57.0
East,Dharmajan Setty,294129.75,58.0,58.0,58.0
East,Abram Ram,294008.0,59.0,59.0,59.0
East,Jiya Bahri,293845.0,60.0,60.0,60.0
East,Samarth Wagle,293628.0,61.0,61.0,61.0
East,Anahi Arya,292970.5,62.0,62.0,62.0
East,Kartik Dutt,292848.0,63.0,63.0,63.0
East,Misha Ranganathan,292723.5,64.0,64.0,64.0
East,Ivan Srinivas,292616.0,65.0,65.0,65.0
East,Baiju Soni,289868.75,66.0,66.0,66.0
East,Faiyaz Apte,289180.0,67.0,67.0,67.0
East,Onkar Toor,288913.5,68.0,68.0,68.0
East,Aarav Kaur,288900.0,69.0,69.0,69.0
East,Dharmajan Comar,283352.0,70.0,70.0,70.0
East,Vritika Batra,282260.0,71.0,71.0,71.0
East,Tanya Goel,282118.5,72.0,72.0,72.0
East,Neelofar Tella,281836.0,73.0,73.0,73.0
East,Prerak Saha,280728.8,74.0,74.0,74.0
East,Nitya Ray,279513.75,75.0,75.0,75.0
East,Anay Gokhale,277129.25,76.0,76.0,76.0
East,Renee Ramesh,277087.5,77.0,77.0,77.0
East,Yuvraj  Virk,275852.0,78.0,78.0,78.0
East,Adira Bains,274590.0,79.0,79.0,79.0
East,Yashvi Choudhury,271624.0,80.0,80.0,80.0
East,Shlok Mander,271426.5,81.0,81.0,81.0
East,Shaan Brahmbhatt,271354.5,82.0,82.0,82.0
East,Jivin Iyengar,271068.25,83.0,83.0,83.0
East,Kiara D’Alia,269504.0,84.0,84.0,84.0
East,Vaibhav Dhar,269413.2,85.0,85.0,85.0
East,Kaira Doctor,268128.0,86.0,86.0,86.0
East,Advika Dhar,266937.4,87.0,87.0,87.0
East,Dishani Shankar,266912.0,88.0,88.0,88.0
East,Purab Shenoy,266808.0,89.0,89.0,89.0
East,Ayesha Ray,266460.0,90.0,90.0,90.0
East,Anaya Chaudhari,265684.0,91.0,91.0,91.0
East,Shayak Contractor,264862.8,92.0,92.0,92.0
East,Aarush Bahl,263836.8,93.0,93.0,93.0
East,Armaan Dugar,263736.0,94.0,94.0,94.0
East,Dhanush Loke,262879.2,95.0,95.0,95.0
East,Chirag Khalsa,262844.0,96.0,96.0,96.0
East,Gokul Soman,262557.2,97.0,97.0,97.0
East,Manikya Subramanian,262288.75,98.0,98.0,98.0
East,Riya Sankaran,261032.4,99.0,99.0,99.0
East,Saira Dora,260488.0,100.0,100.0,100.0
East,Samar Dhaliwal,259735.5,101.0,101.0,101.0
East,Amira Swamy,259488.0,102.0,102.0,102.0
East,Dishani Sane,258648.0,103.0,103.0,103.0
East,Sana Gulati,257886.6,104.0,104.0,104.0
East,Shalv Bava,257014.8,105.0,105.0,105.0
East,Lagan Venkatesh,256435.4,106.0,106.0,106.0
East,Nakul Sura,256405.0,107.0,107.0,107.0
East,Neysa Saraf,254635.0,108.0,108.0,108.0
East,Yakshit Dhingra,254444.2,109.0,109.0,109.0
East,Aniruddh Dhingra,253748.0,110.0,110.0,110.0
East,Shayak Vora,252531.6,111.0,111.0,111.0
East,Vihaan Datta,252518.0,112.0,112.0,112.0
East,Rhea Krishnamurthy,251704.0,113.0,113.0,113.0
East,Jayant Gill,250709.75,114.0,114.0,114.0
East,Fateh Cheema,250192.8,115.0,115.0,115.0
East,Samarth Chatterjee,249808.2,116.0,116.0,116.0
East,Shlok Mannan,249152.0,117.0,117.0,117.0
East,Shayak Dhawan,248410.75,118.0,118.0,118.0
East,Kiara Chand,247505.4,119.0,119.0,119.0
East,Navya Dora,246267.0,120.0,120.0,120.0
East,Chirag Taneja,246092.8,121.0,121.0,121.0
East,Trisha Sodhi,245780.2,122.0,122.0,122.0
East,Eshani Arya,245651.0,123.0,123.0,123.0
East,Ela Gulati,245187.6,124.0,124.0,124.0
East,Keya Goswami,243584.5,125.0,125.0,125.0
East,Mamooty Balakrishnan,242858.0,126.0,126.0,126.0
East,Oorja Borde,242748.0,127.0,127.0,127.0
East,Samiha Chopra,242400.0,128.0,128.0,128.0
East,Ivan Ray,241892.8,129.0,129.0,129.0
East,Madhav Kota,241874.75,130.0,130.0,130.0
East,Prisha Jha,241807.5,131.0,131.0,131.0
East,Manjari Konda,241336.0,132.0,132.0,132.0
East,Armaan Shanker,241322.8,133.0,133.0,133.0
East,Dishani Thaman,241165.4,134.0,134.0,134.0
East,Ivana Kadakia,241162.25,135.0,135.0,135.0
East,Neelofar Ray,240301.8,136.0,136.0,136.0
East,Nishith Basu,240004.0,137.0,137.0,137.0
East,Kiara Vasa,239888.0,138.0,138.0,138.0
East,Inaaya  Sood,239376.0,139.0,139.0,139.0
East,Indrans Sarna,238900.0,140.0,140.0,140.0
East,Miraan Gupta,237424.5,141.0,141.0,141.0
East,Vedika Hans,237402.0,142.0,142.0,142.0
East,Shayak Rana,236670.0,143.0,143.0,143.0
East,Chirag Sachdev,235694.8,144.0,144.0,144.0
East,Kavya Rau,235236.0,145.0,145.0,145.0
East,Mishti Raval,233610.0,146.0,146.0,146.0
East,Anaya Sangha,233325.0,147.0,147.0,147.0
East,Ritvik Sandhu,233161.6,148.0,148.0,148.0
East,Taran Buch,232833.0,149.0,149.0,149.0
East,Stuvan Majumdar,232402.5,150.0,150.0,150.0
East,Dhanush Handa,232006.4,151.0,151.0,151.0
East,Indrans Kata,231888.0,152.0,152.0,152.0
East,Saanvi Chacko,230274.0,153.0,153.0,153.0
East,Ayesha Kar,229853.6,154.0,154.0,154.0
East,Lakshay Savant,229604.4,155.0,155.0,155.0
East,Vardaniya Borra,229340.0,156.0,156.0,156.0
East,Dhanush Mand,228927.2,157.0,157.0,157.0
East,Vedika Ganguly,228723.0,158.0,158.0,158.0
East,Seher Hora,228572.0,159.0,159.0,159.0
